player_id,full_name,team,draft_number,entry_year,team_2025,touches,is_rookie,competition_quality,current_team_pos_rank
00-0029892,Kyle Juszczyk,SF,130.0,2013,,,False,0.0,3.0
00-0031595,Michael Burton,CLE,168.0,2015,,,False,0.0,3.0
00-0032104,Ameer Abdullah,JAX,54.0,2015,IND,31.0,False,31.0,4.0
00-0032764,Derrick Henry,BAL,45.0,2016,BAL,328.0,False,328.0,1.0
00-0033280,Christian McCaffrey,SF,8.0,2017,SF,440.0,False,440.0,1.0
00-0033293,Aaron Jones,MIN,182.0,2017,MIN,173.0,False,173.0,2.0
00-0033376,Patrick Ricard,NYG,,2017,,,False,0.0,4.0
00-0033526,Samaje Perine,CIN,114.0,2017,CIN,105.0,False,105.0,2.0
00-0033906,Alvin Kamara,NO,67.0,2017,NO,170.0,False,170.0,2.0
00-0034844,Saquon Barkley,PHI,2.0,2018,PHI,330.0,False,330.0,1.0
00-0034959,Andrew Beck,NYJ,,2019,,,False,0.0,4.0
00-0034975,Justice Hill,BAL,113.0,2019,BAL,45.0,False,45.0,2.0
00-0035125,Alec Ingold,LAC,,2019,,,False,0.0,4.0
00-0035250,Devin Singletary,NYG,74.0,2019,NYG,138.0,False,138.0,2.0
00-0035261,Tony Pollard,TEN,128.0,2019,TEN,283.0,False,283.0,1.0
00-0035537,Ty Johnson,BUF,186.0,2019,BUF,83.0,False,83.0,2.0
00-0035685,David Montgomery,HOU,73.0,2019,DET,187.0,False,187.0,2.0
00-0036139,Rico Dowdle,PIT,,2020,CAR,286.0,False,286.0,1.0
00-0036158,J.K. Dobbins,DEN,55.0,2020,DEN,167.0,False,167.0,2.0
00-0036187,Reggie Gilliam,NE,,2020,BUF,4.0,False,4.0,3.0
00-0036223,Jonathan Taylor,IND,41.0,2020,IND,378.0,False,378.0,1.0
00-0036265,AJ Dillon,CAR,62.0,2020,PHI,15.0,False,15.0,2.0
00-0036275,D'Andre Swift,CHI,35.0,2020,CHI,271.0,False,271.0,1.0
00-0036555,Chuba Hubbard,CAR,126.0,2021,CAR,173.0,False,173.0,1.0
00-0036842,Kene Nwangwu,NYJ,119.0,2021,NYJ,14.0,False,14.0,3.0
00-0036875,Rhamondre Stevenson,NE,120.0,2021,NE,167.0,False,167.0,2.0
00-0036893,Najee Harris,NYG,24.0,2021,,,False,0.0,4.0
00-0036919,Kenny Gainwell,TB,150.0,2021,PIT,199.0,False,199.0,2.0
00-0036973,Travis Etienne,NO,25.0,2021,JAX,312.0,False,312.0,1.0
00-0036997,Javonte Williams,DAL,35.0,2021,DAL,303.0,False,303.0,1.0
00-0037085,Tyler Badie,DEN,196.0,2022,DEN,39.0,False,39.0,4.0
00-0037157,Bam Knight,ARI,,2022,ARI,113.0,False,113.0,3.0
00-0037197,Isiah Pacheco,DET,251.0,2022,KC,144.0,False,144.0,2.0
00-0037228,Jaylen Warren,PIT,,2022,PIT,256.0,False,256.0,2.0
00-0037248,James Cook,BUF,63.0,2022,BUF,349.0,False,349.0,1.0
00-0037256,Rachaad White,WAS,91.0,2022,TB,177.0,False,177.0,2.0
00-0037263,Tyler Allgeier,ARI,151.0,2022,ATL,159.0,False,159.0,2.0
00-0037304,Connor Heyward,LV,208.0,2022,,,False,0.0,4.0
00-0037525,Jordan Mason,MIN,,2022,MIN,175.0,False,175.0,1.0
00-0037557,Ronnie Rivers,LA,,2022,LA,9.0,False,9.0,3.0
00-0037563,Malik Davis,DAL,,2022,DAL,57.0,False,57.0,2.0
00-0037594,Julius Chestnut,TEN,,2022,TEN,13.0,False,13.0,3.0
00-0037746,Brian Robinson,ATL,98.0,2022,SF,104.0,False,104.0,2.0
00-0037840,Kyren Williams,LA,164.0,2022,LA,309.0,False,309.0,1.0
00-0038120,Breece Hall,NYJ,36.0,2022,NYJ,291.0,False,291.0,1.0
00-0038134,Kenneth Walker III,KC,41.0,2022,SEA,257.0,False,257.0,1.0
00-0038454,Keaton Mitchell,LAC,,2023,BAL,71.0,False,71.0,3.0
00-0038488,Brady Russell,SEA,,2023,SEA,1.0,False,1.0,4.0
00-0038542,Bijan Robinson,ATL,8.0,2023,ATL,390.0,False,390.0,1.0
00-0038551,Kendre Miller,NO,71.0,2023,NO,52.0,False,52.0,3.0
00-0038555,Tank Bigsby,PHI,88.0,2023,PHI,62.0,False,62.0,2.0
00-0038597,Chase Brown,CIN,163.0,2023,CIN,320.0,False,320.0,1.0
00-0038611,Chris Rodriguez Jr.,JAX,193.0,2023,WAS,116.0,False,116.0,1.0
00-0038685,Chris Brooks,GB,,2023,GB,44.0,False,44.0,1.0
00-0038738,Hunter Luepke,DAL,,2023,DAL,31.0,False,31.0,3.0
00-0038797,Emanuel Wilson,SEA,,2023,GB,142.0,False,142.0,2.0
00-0038896,Jacob Saylors,DET,,2023,DET,2.0,False,2.0,3.0
00-0038951,Sean Tucker,TB,,2023,TB,97.0,False,97.0,3.0
00-0039021,Roschon Johnson,CHI,115.0,2023,CHI,2.0,False,2.0,3.0
00-0039032,Tyjae Spears,TEN,81.0,2023,TEN,122.0,False,122.0,2.0
00-0039040,De'Von Achane,MIA,84.0,2023,MIA,323.0,False,323.0,1.0
00-0039139,Jahmyr Gibbs,DET,12.0,2023,DET,337.0,False,337.0,1.0
00-0039299,George Holani,SEA,,2024,SEA,24.0,False,24.0,3.0
00-0039344,Jonathon Brooks,CAR,46.0,2024,,,False,0.0,3.0
00-0039361,Bucky Irving,TB,125.0,2024,TB,208.0,False,208.0,1.0
00-0039364,Sione Vaki,DET,132.0,2024,DET,1.0,False,1.0,4.0
00-0039373,Audric Estimé,NO,147.0,2024,,,False,0.0,4.0
00-0039384,Tyrone Tracy Jr.,NYG,166.0,2024,NYG,224.0,False,224.0,1.0
00-0039391,Kimani Vidal,LAC,181.0,2024,LAC,177.0,False,177.0,1.0
00-0039407,Dylan Laube,LV,208.0,2024,LV,11.0,False,11.0,3.0
00-0039603,British Brooks,HOU,,2024,HOU,17.0,False,17.0,3.0
00-0039652,Jabari Small,DET,,2024,,,False,0.0,5.0
00-0039738,Blake Corum,LA,83.0,2024,LA,159.0,False,159.0,2.0
00-0039746,Will Shipley,PHI,127.0,2024,PHI,26.0,False,26.0,3.0
00-0039794,Braelon Allen,NYJ,134.0,2024,,,False,0.0,4.0
00-0039796,Rasheen Ali,BAL,165.0,2024,BAL,18.0,False,18.0,3.0
00-0039798,Isaiah Davis,NYJ,173.0,2024,NYJ,71.0,False,71.0,2.0
00-0039811,MarShawn Lloyd,GB,88.0,2024,,,False,0.0,3.0
00-0039874,Jaylen Wright,MIA,120.0,2024,MIA,79.0,False,79.0,2.0
00-0039875,Ray Davis,BUF,128.0,2024,BUF,71.0,False,71.0,3.0
00-0040078,Brashard Smith,KC,228.0,2025,KC,79.0,False,79.0,2.0
00-0040122,Ashton Jeanty,LV,6.0,2025,LV,339.0,False,339.0,1.0
00-0040142,Kaleb Johnson,GB,83.0,2025,PIT,30.0,False,30.0,2.0
00-0040162,Dylan Sampson,CLE,126.0,2025,CLE,105.0,False,105.0,2.0
00-0040177,Jordan James,SF,147.0,2025,,,False,0.0,3.0
00-0040179,DJ Giddens,IND,151.0,2025,,,False,0.0,3.0
00-0040198,Ollie Gordon II,MIA,179.0,2025,MIA,79.0,False,79.0,2.0
00-0040208,Tahj Brooks,CIN,193.0,2025,CIN,18.0,False,18.0,3.0
00-0040236,Kyle Monangai,CHI,233.0,2025,CHI,199.0,False,199.0,2.0
00-0040238,LeQuint Allen Jr.,JAX,236.0,2025,JAX,34.0,False,34.0,3.0
00-0040242,Jacory Croskey-Merritt,WAS,245.0,2025,WAS,188.0,False,188.0,1.0
00-0040466,Raheim Sanders,CLE,,2025,,,False,0.0,3.0
00-0040556,Corey Kiner,NE,,2025,,,False,0.0,4.0
00-0040583,Woody Marks,HOU,116.0,2025,HOU,232.0,False,232.0,1.0
00-0040666,Omarion Hampton,LAC,22.0,2025,LAC,159.0,False,159.0,2.0
00-0040715,Cam Skattebo,NYG,105.0,2025,NYG,133.0,False,133.0,3.0
00-0040719,Bhayshul Tuten,JAX,104.0,2025,JAX,97.0,False,97.0,2.0
00-0040730,RJ Harvey,DEN,60.0,2025,DEN,204.0,False,204.0,1.0
