player_id,player_display_name,season_n,season_n1,breakout,touch_share,touches,carries,targets,yards_per_carry,ppr_per_touch,rush_yards_over_expected_per_att,has_ngs_rushing,avg_snap_pct,age,years_exp,draft_number,games_played,ppr_ppg,pos_rank,team_pos_rank,forty,vertical,broad_jump,cone,shuttle,combine_weight
00-0022736,Steven Jackson,2013,2014,0,0.5659340659340659,206,157,49,3.4585987261146496,0.7203883495145631,,0,0.515,30.0,9.0,24.0,12,12.366666666666667,23.0,1.0,4.55,,,,,241.0
00-0023437,Ronnie Brown,2013,2014,0,0.09397163120567376,53,45,8,3.488888888888889,0.6735849056603774,,0,0.1594444444444444,31.0,8.0,2.0,12,2.975,78.0,3.0,4.43,34.0,117.0,7.1,4.08,233.0
00-0023500,Frank Gore,2013,2014,0,0.7023255813953488,302,276,26,4.086956521739131,0.6321192052980132,,0,0.751578947368421,30.0,8.0,65.0,16,11.93125,24.0,1.0,4.58,,,,,217.0
00-0023500,Frank Gore,2014,2015,0,0.7345844504021448,274,255,19,4.337254901960784,0.5791970802919708,,0,0.61125,31.0,9.0,65.0,16,9.91875,30.0,1.0,4.58,,,,,217.0
00-0023500,Frank Gore,2015,2016,0,0.8760330578512396,318,260,58,3.7192307692307693,0.6081761006289308,,0,0.625625,32.0,10.0,65.0,16,12.0875,25.0,1.0,4.58,,,,,217.0
00-0023500,Frank Gore,2016,2017,0,0.7175925925925926,310,263,47,3.897338403041825,0.6909677419354838,,0,0.59375,33.0,11.0,65.0,16,13.3875,19.0,1.0,4.58,,,,,217.0
00-0023500,Frank Gore,2017,2018,0,0.6514161220043573,299,261,38,3.681992337164751,0.5806020066889632,,0,0.538125,34.0,12.0,65.0,16,10.85,26.0,1.0,4.58,,,,,217.0
00-0023500,Frank Gore,2018,2019,0,0.4174757281553398,172,156,16,4.628205128205129,0.5965116279069768,0.3447779302095448,1,0.4071428571428571,35.0,13.0,300.0,14,7.328571428571428,62.0,2.0,4.58,,,,,217.0
00-0023500,Frank Gore,2019,2020,0,0.48663101604278075,182,166,16,3.608433734939759,0.5214285714285715,-0.4020678878608198,1,0.3352941176470588,36.0,14.0,65.0,15,6.326666666666667,61.0,2.0,4.58,,,,,217.0
00-0023564,Darren Sproles,2013,2014,0,0.2751937984496124,142,53,89,4.150943396226415,1.235211267605634,,0,0.3423529411764706,30.0,8.0,130.0,15,11.693333333333332,27.0,2.0,4.47,33.0,105.0,6.96,3.96,187.0
00-0023564,Darren Sproles,2014,2015,0,0.23017408123791103,119,57,62,5.771929824561403,1.3243697478991596,,0,0.3073333333333333,31.0,9.0,130.0,15,10.506666666666666,27.0,2.0,4.47,33.0,105.0,6.96,3.96,187.0
00-0023564,Darren Sproles,2015,2016,0,0.3029197080291971,166,83,83,3.819277108433735,0.9728915662650602,,0,0.34625,32.0,10.0,130.0,16,10.09375,40.0,2.0,4.47,33.0,105.0,6.96,3.96,187.0
00-0023564,Darren Sproles,2018,2019,0,0.13,52,29,23,4.137931034482759,1.1730769230769231,,0,0.405,35.0,13.0,130.0,6,10.166666666666666,37.0,4.0,4.47,33.0,105.0,6.96,3.96,187.0
00-0024204,Fred Jackson,2013,2014,0,0.4883303411131059,272,206,66,4.320388349514563,0.8628676470588235,,0,,32.0,8.0,300.0,16,14.66875,13.0,1.0,,,,,,
00-0024204,Fred Jackson,2014,2015,0,0.45652173913043476,231,141,90,3.723404255319149,0.8164502164502164,,0,,33.0,9.0,300.0,14,13.471428571428572,15.0,1.0,,,,,,
00-0024217,Reggie Bush,2013,2014,0,0.5459459459459459,303,223,80,4.511210762331839,0.7894389438943894,,0,0.6064285714285714,28.0,7.0,2.0,14,17.085714285714285,7.0,1.0,4.37,,,,,201.0
00-0024242,DeAngelo Williams,2013,2014,0,0.8116438356164384,237,201,36,4.1940298507462686,0.690295358649789,,0,0.4831249999999999,30.0,7.0,27.0,15,10.906666666666666,32.0,1.0,4.45,35.5,121.0,,,214.0
00-0024242,DeAngelo Williams,2014,2015,1,0.21794871794871795,68,62,6,3.532258064516129,0.4308823529411765,,0,0.27,31.0,8.0,27.0,6,4.883333333333334,76.0,2.0,4.45,35.5,121.0,,,214.0
00-0024242,DeAngelo Williams,2015,2016,0,0.6398963730569949,247,200,47,4.535,0.9449392712550607,,0,0.620625,32.0,9.0,27.0,16,14.5875,10.0,1.0,4.45,35.5,121.0,,,214.0
00-0024275,Maurice Jones-Drew,2013,2014,0,0.6697038724373576,294,234,60,3.4316239316239314,0.6361224489795919,,0,0.6593333333333333,28.0,7.0,60.0,15,12.467999999999998,22.0,1.0,4.39,36.0,116.0,7.08,4.38,207.0
00-0024813,Pierre Thomas,2013,2014,0,0.4476744186046512,231,147,84,3.7346938775510203,0.9229437229437228,,0,,28.0,6.0,300.0,16,13.325,19.0,1.0,,,,,,
00-0025394,Adrian Peterson,2017,2018,0,0.3485576923076923,145,129,16,3.4728682170542635,0.4717241379310345,,0,0.452,32.0,10.0,300.0,6,11.4,20.0,1.0,4.4,38.5,127.0,7.09,4.4,217.0
00-0025394,Adrian Peterson,2018,2019,0,0.6707021791767555,277,251,26,4.151394422310757,0.6823104693140795,0.2484537665774232,1,0.46125,33.0,11.0,7.0,16,11.8125,30.0,1.0,4.4,38.5,127.0,7.09,4.4,217.0
00-0025394,Adrian Peterson,2019,2020,0,0.6428571428571429,234,211,23,4.2559241706161135,0.6282051282051282,0.4852499661618975,1,0.4713333333333333,34.0,12.0,7.0,15,9.8,38.0,1.0,4.4,38.5,127.0,7.09,4.4,217.0
00-0025399,Marshawn Lynch,2013,2014,0,0.7949308755760369,345,301,44,4.176079734219269,0.7979710144927536,,0,0.7163157894736841,27.0,6.0,12.0,16,17.20625,6.0,1.0,4.46,35.5,125.0,7.05,4.55,215.0
00-0025399,Marshawn Lynch,2014,2015,0,0.7161572052401747,328,280,48,4.664285714285715,0.9216463414634146,,0,0.6810526315789474,28.0,7.0,12.0,16,18.89375,5.0,1.0,4.46,35.5,125.0,7.05,4.55,215.0
